Título (Português);Instituição;Cidade Instituição;Empresa;Município;Local de Pesquisa;Grande Área do Conhecimento;Área do Conhecimento;Subárea do Conhecimento;Assuntos;
Têxteis multifuncionais: celulose recoberta por nanopartículas de óxido de zinco para controle de infecções hospitalares;;;Nanopol Consultoria Tecnológica Ltda;São Paulo;;Ciências Exatas e da Terra;Química;Química Orgânica;Nanopartículas:Óxido de zinco:Nanotecnologia:Fibra de algodão:Tecidos (indústria têxtil):Infecção hospitalar; 
Desenvolvimento de formulação bacteriana para remoção de NH4, DQO e cor em lixiviados de aterros sanitários;;;Foxwater Água e Saneamento Ltda;Santo Antônio de Posse;;Ciências Biológicas;Microbiologia;Microbiologia Aplicada;Biorremediação:Consórcios microbianos:Lixiviação do solo:Aterros sanitários:Demanda química de oxigênio:Resíduos sólidos:Efluentes; 
Desenvolvimento de enxerto ósseo biocerâmico associado a extratos vegetais bioativos para regeneração óssea guiada;;;Triplet soluções em Biotecnologia Ltda;Bauru;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Biomateriais:Biopolímeros:Enxerto ósseo:Extratos vegetais:Produtos naturais; 
Manufatura de vasos de pressão utilizando materiais compósitos através do processo Filament Winding;;;Forza Composites Tecnologia em Materiais Compósitos Ltda;São José dos Campos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Biogás:Combustíveis alternativos:Eficiência energética:Materiais compósitos:Vasos de pressão:Manufatura; 
Cosméticos personalizados Sob Medida: do diagnóstico ao tratamento;;;Kairos Lab Ltda. - ME;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Cosméticos:Dermocosméticos:Diagnóstico:Cabelo:Produtos para higiene pessoal:Desenvolvimento de produtos; 
Desenvolvimento de um processo físico-químico para minimizar/eliminar os efeitos das proteínas alergênicas de produtos à base de borracha natural;;;Nascimento Pesquisa, Desenvolvimento e Capacitação Profissional Ltda;Descalvado;;Ciências Exatas e da Terra;Química;Físico-química;Tratamento de superfícies:Látex natural:Sobrevivência celular:Alergenicidade:Alérgenos; 
Desenvolvimento de formulação dermocosmética orgânica, vegana e auto-conservante para tratamento de disfunções de pele como acne e rosácea com minimização de reações indesejadas;;;Juliana Rodrigues Pegos;Campinas;;Ciências Biológicas;Farmacologia;;Cosmetologia:Dermocosméticos:Rosácea:Acne vulgar:Efeitos colaterais e reações adversas relacionados a medicamentos; 
Desenvolvimento de equipamento de blade coating para deposição de filmes finos;;;Autocoat Equipamentos e Processos de Deposição Ltda;Campinas;;Interdisciplinar;;;Nanotecnologia:Biomateriais:Filmes finos:Materiais avançados; 
Produção do antígeno (produto mínimo viável) e prototipagem do teste Sporothrix-ELISA;;;Bio Insumos e Diagnóstico Ltda;São Paulo;;Ciências Biológicas;Microbiologia;Microbiologia Aplicada;Micologia:Glicobiologia:Antígenos:Testes imediatos:Esporotricose:Diagnóstico:Sporothrix:ELISA em animal; 
Produção de ácido hialurônico para uso terapêutico e cosmético por processo biotecnológico utilizando levedura Kluyveromyces lactis recombinante;;;Biobreyer Pesquisa e Desenvolvimento Científico Ltda;Santos;;Ciências da Saúde;Farmácia;;Biotecnologia:Ácido hialurônico:Bioprocessos:Kluyveromyces:Moléculas bioativas; 
Desenvolvimento de bateria aeronáutica modular e de alta performance utilizando células a base de LiFePO4;;;Lace Serviços de Engenharia e Representação Ltda;São José dos Campos;;Engenharias;Engenharia Aeroespacial;Sistemas Aeroespaciais;Aeronáutica:Propulsão elétrica:Baterias:Eletrônica:Lítio:Ferro; 
AirV: plataforma de desenvolvimento e validação de produtos e equipamentos biocidas;;;Mastrangelo Ferreira e Ribeiro Pesquisa e Desenvolvimento Ltda;Botucatu;;Ciências Biológicas;Microbiologia;;Biotecnologia:Virologia:Biocidas:SARS-CoV-2:COVID-19:Infecções por Coronavirus:Patógenos:Desinfecção; 
Desenvolvimento de soluções enzimáticas aplicadas para o enriquecimento de ácidos graxos ômega-3 em matrizes lipídicas de interesse no segmento de produtos de origem animal e vegetal;;;;;;Ciências Agrárias;Zootecnia;Nutrição e Alimentação Animal;Ácidos graxos:Ácidos graxos ômega-3:Ácidos graxos ômega-6:Ácidos graxos dessaturases:Alimentos de origem animal:Alimentos de origem vegetal; 
Desenvolvimento de formulação bacteriana para remoção de NH4, DQO e cor em lixiviados de aterros sanitários;;;;;;Ciências Biológicas;Microbiologia;Microbiologia Aplicada;Tratamento de águas residuárias:Amônia:Demanda química de oxigênio:Biodegradação:Aterros sanitários; 
Desenvolvimento de um coquetel antibacteriano complexo e sua aplicação em processos fermentativos industriais;;;;;;Engenharias;Engenharia Química;;Controle biológico:Bioprocessos:Bacteriófagos:Antibacterianos:Fermentação alcoólica:Processos industriais; 
Têxteis multifuncionais: celulose recoberta por nanopartículas de óxido de zinco para controle de infecções hospitalares;;;;;;Ciências Exatas e da Terra;Química;Química Orgânica;Nanotecnologia:Nanopartículas:Óxido de zinco:Têxteis:Fibra de algodão:Controle de infecções:Infecção hospitalar:SARS-CoV-2; 
Microencapsulação de defensivos agrícolas com princípios ativos biológicos e a base de óleos naturais, para aumento de eficiência e dimimuição do impacto ambiental;;;;;;Ciências Agrárias;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas;Microencapsulação:Agroquímicos:Produtos naturais:Óleos:Mostardeira:Metarhizium:Impactos ambientais:Controle de pragas; 
Fios de sutura não-absorvíveis dotados de acabamento nanotecnológico com propriedades antimicrobianas;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Anti-infecciosos:Fios de sutura:Nanotecnologia:Teste de biocompatibilidade:Propriedades mecânicas:Nanopartículas de prata:Médicos hospitalares; 
Produção de ácido hialurônico para uso terapêutico e cosmético por processo biotecnológico utilizando levedura Kluyveromyces lactis recombinante;;;;;;Ciências da Saúde;Farmácia;;Biotecnologia farmacêutica:Bioprocessos:Moléculas bioativas:Ácido hialurônico:Cosméticos:Terapêutica:Kluyveromyces; 
Desenvolvimento da plataforma inteligente K-IA para análise de fatores operacionais e ambientais (big data) preponderantes na obtenção da produtividade florestal;;;;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;;Manejo florestal:Silvicultura:Inteligência artificial:Planejamento florestal:Produtividade:Aprendizado computacional:Big data; 
Desenvolvimento e aplicação de pipelines de bioinformática para análise metagenômica viral em amostras clínicas;Secretaria da Saúde (São Paulo - Estado). Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da USP (HCMRP). Hemocentro de Ribeirão Preto;Ribeirão Preto;;;;Ciências Biológicas;Genética;Genética Molecular e de Microorganismos;Biologia computacional:Genética molecular:Filogenia:Metagenômica; 
Sistema de gestão de Epilepsia;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Análise de dados:Ciência de dados:Gestão de conteúdo:Mídias sociais:Epilepsia:Neurologistas; 
Síntese de nitrosaminas derivadas de IFAs ou produtos de degradação para aplicação como padrões analíticos pela indústria farmacêutica;;;;;;Ciências da Saúde;Farmácia;Análise e Controle de Medicamentos;Síntese química:Nitrosaminas:Insumos farmacêuticos ativos:Dimetilnitrosamina:Indústria farmacêutica; 
BeefTrader: plataforma de inteligência de informações de mercado para a maximização do lucro de produtores e da indústria frigorífica;;;;;;Ciências Agrárias;Zootecnia;Produção Animal;Pecuária de precisão:Plataformas inteligentes:Aprendizagem profunda:Inteligência artificial:Programação matemática:Tomada de decisão:Bovinocultura de corte:Produtividade:Lucratividade:Redução de custos:Automação; 
BeefTrader: plataforma de inteligência de informações de mercado para a maximização do lucro de produtores e da indústria frigorífica;;;;;;Ciências Agrárias;Zootecnia;Produção Animal;Pecuária de precisão:Plataformas inteligentes:Aprendizagem profunda:Inteligência artificial:Programação matemática:Tomada de decisão:Bovinocultura de corte:Produtividade:Lucratividade:Redução de custos; 
Desenvolvimento de formulação dermocosmética orgânica, vegana e auto-conservante para tratamento de disfunções de pele como acne e rosácea com minimização de reações indesejadas;;;;;;Ciências da Saúde;Farmácia;;Cosmetologia:Dermocosméticos:Veganos:Rosácea:Desenvolvimento de produtos:Acne vulgar:Efeitos colaterais e reações adversas relacionados a medicamentos; 
Fios de sutura não-absorvíveis dotados de acabamento nanotecnológico com propriedades antimicrobianas;;;TOVIESUR QUIMICA LTDA;São Carlos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Serviços de saúde:Infecção hospitalar:Sutura:Fios de sutura:Anti-infecciosos:Prata; 
Sistema de Gestão da Epilepsia;;;Gomez & Gomez Ltda. - ME;São Paulo;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Aprendizado computacional:Ciência de dados:Análise de dados:Coleta de dados:Aplicativos móveis:Epilepsia:Sinais e sintomas:Hábitos:Tratamento de doenças; 
Desenvolvimento de candidatos a material de referência certificado multielementar em matrizes ambientais;;;Airton Juliano Damaceno - ME;São José do Rio Preto;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Química ambiental:Metrologia:Água:Controle da qualidade:Sedimentos:Solos:Normas técnicas; 
Síntese de nitrosaminas derivadas de IFAs ou produtos de degradação para aplicação como padrões analíticos pela indústria farmacêutica;;;Bind Pesquisa e Desenvolvimento Ltda;Ribeirão Preto;;Ciências da Saúde;Farmácia;Análise e Controle de Medicamentos;Indústria farmacêutica:Nitrosaminas:Carbamatos:Amidas; 
IAssist - Assistente Médico;;;IAssist Desenvolvimento de Programas Ltda;São Paulo;;Ciências Exatas e da Terra;Ciência da Computação;;Aprendizado computacional:Inteligência artificial:Aplicativos móveis:Diagnóstico por computador:Oncologia:Oncologia pediátrica; 
Processo inovador de compostagem biocatalisada de resíduos da vinicultura e cafeicultura para obtenção de um fertilizante orgânico e estudo de compostos alelopáticos como insumos agronômicos para controle de pragas e/ou bioestimulação;;;Supply Comércio de Produtos Químicos Ltda;Mogi Guaçu;;Ciências Agrárias;Agronomia;Ciência do Solo;Aleloquímicos:Compostagem:Nutrição vegetal:Cafeicultura:Bagaços:Cascas (planta):Fertilizantes:Fertilizantes orgânicos:Controle de pragas:Bioestimulantes vegetais; 
Tecnologia nacional para produção de bioinseticida de tripla ação à base de baculovírus;;;CL Empreendimentos Biológicos Ltda. - EPP;Piracicaba;;Ciências Agrárias;Agronomia;Fitossanidade;Entomologia:Controle biológico:Produtos biológicos:Baculoviridae:Helicoverpa armigera:Lagartas:Cana-de-açúcar:Algodão:Milho:Soja; 
Desenvolvimento da plataforma inteligente K-IA para análise de fatores operacionais e ambientais (Big Data) preponderantes na obtenção da produtividade florestal;;;Kersys Desenvolvimento de Sistemas Ltda. - ME;São José dos Campos;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;;Manejo florestal:Silvicultura:Inteligência artificial:Plataforma (computação):Big data analytics:Big data; 
BeefTrader: plataforma de inteligência de informações de mercado para a maximização do lucro de produtores e da indústria frigorífica;;;Tech - Inovações Tecnológicas para a Agropecuária Ltda;Piracicaba;;Ciências Agrárias;Zootecnia;Produção Animal;Bovinocultura de corte:Aprendizado computacional:Aprendizagem profunda:Inteligência artificial:Pecuária de precisão:Programação matemática:Tomada de decisão:Frigoríficos; 
Desenvolvimento de um coquetel antibacteriano complexo e sua aplicação em processos fermentativos industriais;;;Bioprocess Improvement Consultoria e Pesquisas em Bioprocessos Ltda;Campinas;;Engenharias;Engenharia Química;;Bacteriófagos:Controle biológico:Contaminação:Fermentação alcoólica:Fermentação industrial:Antibacterianos:Bioprocessos:Lactobacillus; 
Nanocompósitos PbO/grafeno-supercapacitor para baterias avançadas de chumbo-ácido de uso em carros micro híbridos e acumuladores de energia acoplados a energias renováveis;;;Teccer Indústria e Comércio de Produtos Cerâmicos Ltda;Cravinhos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Nanocompósitos:Materiais cerâmicos:Supercapacitores:Baterias:Chumbo:Grafenos:Energia renovável; 
Validação in vivo do bioenxerto gengival bioimpresso à base de células mesenquimais em scaffold de ácido hialurônico;;;In Situ Terapia Celular Ltda;Paulínia;;Ciências da Saúde;Odontologia;Periodontia;Ácido hialurônico:Bioimpressão tridimensional:Retração gengival:Regeneração tecidual:Terapia baseada em transplante de células e tecidos:Vesículas extracelulares; 
Microencapsulação de defensivos agrícolas com princípios ativos biológicos e a base de óleos naturais, para aumento de eficiência e dimimuição do impacto ambiental;;;Linax Indústria e Comércio de Óleos Essenciais Ltda;Votuporanga;;Ciências Agrárias;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas;Controle de pragas:Microencapsulação:Agrotóxicos:Metarhizium anisopliae:Óleos vegetais:Impactos ambientais; 
Aperfeiçoamento de algoritmos para a gestão de risco no agronegócio e sua aplicabilidade comercial;;;Matriz Brasileira de Risco Agro Ltda;Piracicaba;;Ciências Sociais Aplicadas;Economia;Economias Agrária e dos Recursos Naturais;Agropecuária:Agronegócio:Gestão de riscos:Big data:Aprendizado computacional:Algoritmos; 
Desenvolvimento de soluções enzimáticas aplicadas para o enriquecimento de ácidos graxos ômega-3 em matrizes lipídicas de interesse no segmento de produtos de origem animal e vegetal;;;BRL COMPANY LTDA;São Paulo;;Ciências Agrárias;Zootecnia;Nutrição e Alimentação Animal;Nutrição:Enzimas:Ácidos graxos:Ácidos graxos ômega-3:Ácidos graxos ômega-6:Bovinos de corte; 
