Empresa;Área do Conhecimento;Subárea do Conhecimento
Cropman Inovação Tecnológica e Agricultura Digital Ltda;Agronomia;Ciência do Solo
Skyhigh Pesquisa e Desenvolvimento Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Autoscience Technologies Projetos e Consultoria Ltda;Engenharia Mecânica;Projetos de Máquinas
Engecer Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
NGS Soluções Genômicas Eireli - ME;Genética;Genética Molecular e de Microorganismos
Muove Brasil Ltda;Ciência da Computação;Sistemas de Computação
NCB Sistemas Embarcados Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Revbio - Serviços em Sanidade e Nutrição Vegetal Ltda;Agronomia;Fitotecnia
Agertek Indústria e Comércio de Estruturas Eireli - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Cozo Tecnologia Ltda;Ciência da Computação;Sistemas de Computação
Decoy Tecnologia em Controle de Pragas S/A;Ecologia;Ecologia Aplicada
Mariza Monteiro;Agronomia;Fitotecnia
Atriatec - Pesquisas e Desenvolvimento Eireli;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
ODM Consultoria Empresarial Ltda;Engenharia de Produção;Pesquisa Operacional
Gobots Soluções Inteligentes Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Equatorial Sistemas S/A;Engenharia Química;Processos Industriais de Engenharia Química
Smart Consultoria Agronômica e Serviços Agrícolas Ltda;Agronomia;Fitossanidade
Timpel S/A;Engenharia Biomédica;Bioengenharia
Lumminy Consultoria e Serviços em Informática Ltda;Matemática;Matemática Aplicada
Setup Automação e Controle de Processos Ltda;Engenharia Biomédica;Engenharia Médica
Linax Indústria e Comércio de Óleos Essenciais Ltda;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Cintia Carla Melgaco de Oliveira;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Equatorial Sistemas S/A;Engenharia Química;Processos Industriais de Engenharia Química
Ssoft Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Print Dreams 3D Artigos Ortopédicos Ltda;Engenharia Mecânica;Processos de Fabricação
Developnow Projetos de Software e Eletrônica Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Avinamics Serviços de Engenharia Ltda;Engenharia Aeroespacial;Aerodinâmica
Agrientech Limitada;Agronomia;Fitossanidade
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME;Engenharia de Materiais e Metalúrgica;Metalurgia de Transformação
WS Equipamentos Eletrônicos Ltda. - ME;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
BL Mak Pesquisa e Desenvolvimento Ltda;Química;Química Orgânica
Simone Cristina Picchi;Agronomia;Fitossanidade
Neuralmind Inteligência Artificial Ltda;Ciência da Computação;Sistemas de Computação
Biologix Sistemas Ltda;Medicina;Clínica Médica
Adriana Ferreira Lopes Vilela;Química;Química Analítica
Aureliano Agostinho Dias Meirelles;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Naiad Desenvolvimento Computacional de Fármacos Ltda;Farmacologia;Farmacologia Bioquímica e Molecular
AFH Soluções Tecnológicas Ltda;Agronomia;Fitossanidade
Ranieri S de Barros;Engenharia Mecânica;Engenharia Térmica
Lace Serviços de Engenharia e Representação Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
AG Têxtil Eireli;Engenharia Elétrica;Materiais Elétricos
Centro de Amparo à Pesquisa Veterinária Ltda;Medicina Veterinária;Patologia Animal
Tak Controle Biológico Ltda;Parasitologia;Entomologia e Malacologia de Parasitos e Vetores
Tecplas Indústria e Comércio Ltda. - EPP;Engenharia de Produção;Engenharia do Produto
Justy Biosolutions Ltda;Microbiologia;Microbiologia Aplicada
Genoa Soluções Ltda;Engenharia de Produção;Pesquisa Operacional
Soleil Papa Pesquisa e Desenvolvimento Ltda;Agronomia;Fitotecnia
Fruturos Pesquisa e Desenvolvimento de Produtos Alimentícios Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Pesqeasy Inovação Tecnológica - Consultoria em Sistemas da Informação Ltda;Ciência da Computação;Sistemas de Computação
Edumaplab Tecnologia Educacional Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Tech - Inovações Tecnológicas para a Agropecuária Ltda;Zootecnia;Produção Animal
Ecra Biotec Serviços e Pesquisas Ltda;Bioquímica;Biologia Molecular
Machiron Desenvolvimento de Sistemas Ltda;Medicina;Radiologia Médica
Iteas Soluções Digitais Ltda;Ciência da Computação;Sistemas de Computação
J&C Ferreira Pesquisa e Desenvolvimento Ltda;Agronomia;Ciência do Solo
Progt Industrial Ltda;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Airton Juliano Damaceno - ME;Engenharia Sanitária;Saneamento Ambiental
Kasco P&D Tecnologia da Informação Ltda;Engenharia Elétrica;Telecomunicações
Rafael Nunes da Silva;Engenharia Biomédica;Bioengenharia
Agricef Soluções Tecnológicas para Agricultura Ltda (Agricef);Engenharia Agrícola;Máquinas e Implementos Agrícolas
Houari Cobas Gómez;Engenharia Biomédica;Bioengenharia
Autaza Tecnologia S/A;Engenharia Mecânica;Processos de Fabricação
R&R NovaBio Pesquisa e Desenvolvimento em Ciências Naturais Ltda;Medicina;Clínica Médica
Natural Products & Technologies Ltda. - ME;Zootecnia;Nutrição e Alimentação Animal
IDGeo Inteligência em Dados Geográficos Ltda;Geociências;Geografia Física
Vetra Pesquisa e Desenvolvimento de Produtos Cerâmicos de Alta Tecnologia Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Vulcano Equipamentos para Digitalização Ltda;Engenharia Mecânica;Projetos de Máquinas
CL Empreendimentos Biológicos Ltda. - EPP;Agronomia;Fitotecnia
Ursula Luana Rochetto Doubek - ME;Engenharia Química;Tecnologia Química
Agromic Pesquisa, Produção e Comércio de Insumos Biológicos Ltda;Agronomia;Fitossanidade
Systech Feeder Desenvolvimento de Tecnologias para Agronegócio Ltda;Zootecnia;Produção Animal
MC Supply Comércio, Importação, Exportação e Intermediação de Negócios Ltda;Engenharia Mecânica;Projetos de Máquinas
Watanabe Equipamentos Médicos Ltda. - EPP;Genética;Genética Animal
Eleve Science Pesquisa e Desenvolvimento Ltda;Farmacologia;Toxicologia
Radiologia-IS Desenvolvimento de Programas Ltda;Medicina;Radiologia Médica
Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda;Química;Química Orgânica
AFH Soluções Tecnológicas Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Sofia Nascimento dos Santos;Engenharia Nuclear;Aplicações de Radioisótopos
MRA Indústria de Equipamentos Eletrônicos Ltda;Física;Física da Matéria Condensada
Visibilia Ltda;Ciência da Computação;Sistemas de Computação
M M da Silva Fibras e Resinas Sintéticas - ME;Engenharia Mecânica;Processos de Fabricação
Vetadvisory Veterinários & Associados Ltda;Farmácia;Farmacotecnia
Verum Brasil Comércio Alimentício Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Pharmalife Produtos Veterinários Eireli;Medicina Veterinária;Clínica e Cirurgia Animal
Innolution Sistemas de Informática Ltda;Medicina;Radiologia Médica
Gedanken Desenvolvimento e Licenciamento de Programas de Computador Ltda;Administração;Administração de Empresas
Leandro Yukio Mano Alves;Ciência da Computação;Sistemas de Computação
Verdaz Gestão Sustentável e Consultoria Ambiental Ltda (Verdaz);Engenharia Sanitária;Saneamento Ambiental
Vivax Serviços Ltda;Engenharia Biomédica;Engenharia Médica
Biosmart Nanotechnology Ltda;Microbiologia;Microbiologia Aplicada
Phelcom Technologies Ltda. - ME;Engenharia Biomédica;Engenharia Médica
4tree Agroflorestal Ltda;Recursos Florestais e Engenharia Florestal;Manejo Florestal
7 Waves do Brasil Ltda. - ME;Ciência da Computação;Sistemas de Computação
Aptor Consultoria e Desenvolvimento de Software Ltda. - ME;Ciência da Computação;Sistemas de Computação
Tracktudo Monitoramento Inteligente Ltda;Ciência da Computação;Sistemas de Computação
Carbosolo Desenvolvimento Agrícola Ltda;Agronomia;Ciência do Solo
Biosmart Nanotechnology Ltda;Odontologia;Clínica Odontológica
Tekopora Comércio de Alimentos e Probióticos Ltda;Farmácia;Bromatologia
Adriel Bortolin;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
IMAE - Inovação em Engenharia Mecânica e Aeronáutica Eireli;Engenharia Mecânica;Projetos de Máquinas
Signature Healthcare Innovation Artigos Médicos para Diagnósticos Ltda;Medicina;Saúde Materno-infantil
Gustavo Trindade Valio;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Pangeiabiotech Pesquisa e Desenvolvimento Ltda;Genética;Genética Vegetal
4tree Agroflorestal Ltda;Recursos Florestais e Engenharia Florestal;Silvicultura
Ambar Indústria, Comércio de Componentes e Instalações Elétricas, Importação e Exportação S/A;Ciência da Computação;Sistemas de Computação
Koneksi Inovação Agro Ltda;Zootecnia;Produção Animal
Rhelvis de Campos Oliveira 31779078897;Engenharia Química;Processos Industriais de Engenharia Química
Retina Serviços de Tecnologia em Monitoramento Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
TagmaVisions Treinamentos Digitais Ltda;Medicina;Cirurgia
Hygsystems Ingredientes Indústria e Comércio Ltda;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
TR - Tecnologia em Radares Ltda;Geociências;Meteorologia
Evandro Drigo da Silva 26923954843;Engenharia Biomédica;Bioengenharia
Koppert do Brasil Holding Ltda (Koppert);Agronomia;Fitossanidade
Gomez & Gomez Ltda. - ME;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Angoera Comércio e Serviços de Equipamentos Eletrônicos Ltda. - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Solferini Ltda;Engenharia Mecânica;Fenômenos de Transportes
Cognita Soluções Tecnológicas Pesquisa Desenvolvimento Científico;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Lace Serviços de Engenharia e Representação Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Noleak Tecnologia da Informação Ltda;Ciência da Computação;Sistemas de Computação
Clarice Inteligência Artificial Ltda;Linguística;Linguística Aplicada
Nchemi Engenharia de Materiais Ltda;Química;Físico-química
Navigandi Pesquisas e Desenvolvimento de Equipamentos Marítimos Ltda;Engenharia Naval e Oceânica;Tecnologia de Construção Naval e de Sistemas Oceânicos
Guiaderodas Desenvolvimento e Pesquisas Ltda;Ciência da Computação;Sistemas de Computação
Lipid Ingredients & Technologies Ltda. - ME;Odontologia;Endodontia
IPclin - Instituto de Pesquisa Clínica Integrada Ltda;Química;Química Analítica
TechMiP Análises e Soluções Inteligentes Ltda;Saúde Coletiva;Saúde Pública
MTG Solutions Softwares de Otimização para Engenharia Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Cassio Ramos Aquicultura e Comércio - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Grazziani Rodrigues da Costa Marques 93264500159;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
Alberto OFarrill Vannini Pessina - ME;Zootecnia;Produção Animal
Eyetec Equipamentos Oftalmicos Indústria, Comércio Importação e Exportação Ltda. - EPP;Engenharia de Produção;Engenharia do Produto
Win-Win Traduções e Crowdfunding Ltda. - ME;Ciência da Computação;Sistemas de Computação
Timpel S/A;Engenharia Biomédica;Engenharia Médica
Rogerio Augusto de Caldas Ayres Estácio;Zootecnia;Produção Animal
Marcelo Victor Pires Sousa Desenvolvimento Tecnológico Fotomedicina - ME;Biofísica;Radiologia e Fotobiologia
Optarium Comércio de Artigos de Ótica Eireli - ME;Ciência da Computação;Sistemas de Computação
Neguebe Química e Biológica Ltda;Parasitologia;Protozoologia de Parasitos
Advance Soluções em Informática Ltda;Ciência da Computação;Sistemas de Computação
Bio Insumos e Diagnóstico Ltda;Microbiologia;Microbiologia Aplicada
Autaza Tecnologia S/A;Engenharia Mecânica;Processos de Fabricação
Kopp Pesquisa e Desenvolvimento Científico Ltda. - ME;Engenharia Química;Tecnologia Química
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME;Engenharia Mecânica;Processos de Fabricação
Biodiversita Serviços de Apoio Agrícola Ltda. - ME;Microbiologia;Biologia e Fisiologia dos Microorganismos
Altave Indústria, Comércio e Exportação de Aeronaves S/A;Engenharia de Produção;Engenharia do Produto
Portal Telemedicina Ltda;Ciência da Computação;Sistemas de Computação
Uirá Consultoria Ambiental Ltda. - ME;Botânica;Taxonomia Vegetal
Browser Ninjas - Tecnologia da Informação Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Biocam Equipamento Médico Hospitalar Eireli - EPP;Medicina;Saúde Materno-infantil
Moradigna - Construções Assessoria Ltda - ME;Arquitetura e Urbanismo;Projeto de Arquitetura e Urbanismo
EDS Maker Comércio de Artigos Hospitalares - EIRELI;Engenharia de Produção;Engenharia do Produto
Partecurae Pesquisa e Desenvolvimento Ltda;Química;Química Analítica
Tau Flow Engenharia;Engenharia Agrícola;Construções Rurais e Ambiência
Bio Controle Métodos de Controle de Pragas Ltda;Agronomia;Fitossanidade
Stefanini Rafael Segurança e Defesa S/A;Ciência da Computação;Sistemas de Computação
Genobiomas Biotecnologia Ltda;Genética;Genética Molecular e de Microorganismos
Time Energy Indústria e Comércio Eireli - EPP;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Fubá Educação Ambiental e Criatividade Ltda. - ME;Educação;Tópicos Específicos de Educação
Opto Tecnologia Optrônica Ltda;Física;Física da Matéria Condensada
Ramon Adrian Salinas Franco;Engenharia Biomédica;Bioengenharia
Serenity Now Pesquisa e Desenvolvimento Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Vision Serviços Médicos Ltda - ME;Medicina;Clínica Médica
Koppert do Brasil Holding Ltda (Koppert);Agronomia;Fitossanidade
Kidopi Soluções em Informática Médica Ltda (Kidopi);Ciência da Computação;Sistemas de Computação
Tech - Inovações Tecnológicas para a Agropecuária Ltda;Zootecnia;Genética e Melhoramento dos Animais Domésticos
Tech - Inovações Tecnológicas para a Agropecuária Ltda;Zootecnia;Nutrição e Alimentação Animal
Verdexis Bioprodutos Eireli;Microbiologia;Microbiologia Aplicada
Decoy Tecnologia em Controle de Pragas S/A;Ecologia;Ecologia Aplicada
Adimplere Cobranças Ltda. - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Regina Bernardina Johanna Hakvoort - ME;Agronomia;Agrometeorologia
Douglas Rodrigues Bello - ME;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
João de Barro Pesquisa e Desenvolvimento Ltda;Engenharia de Produção;Engenharia do Produto
ACMC Tecnologia e Serviços Ltda;Engenharia Biomédica;Bioengenharia
Opto Tecnologia Optrônica Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
NTU Software Technology Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Glucogear Serviços em Tecnologia Ltda. - ME;Ciência da Computação;Sistemas de Computação
Fernanda Rebel Moreira Alves;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Micro Tube Ferramentaria de Precisão e Comércio Ltda. - ME;Química;Química Analítica
Smart Consultoria Agronômica e Serviços Agrícolas Ltda;Agronomia;Fitossanidade
Revbio - Serviços em Sanidade e Nutrição Vegetal Ltda;Agronomia;Fitotecnia
InCeres Desenvolvimento de Software e Processamento de Dados S/A;Agronomia;Ciência do Solo
Hyciclool Sistemas Solares Híbridos Ltda. - ME;Química;Química Inorgânica
Polizel Representações Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Ticyana Carone Banzato - ME;Agronomia;Fitossanidade
Sigmed Equipamentos Eletrônicos Ltda. - EPP;Engenharia Biomédica;Engenharia Médica
Eduq Soluções Educacionais Ltda;Probabilidade e Estatística;Probabilidade e Estatística Aplicadas
Lei List Pesquisa e Serviços de Tecnologia Eireli - EPP;Ciência da Computação;Sistemas de Computação
BRCOL Máquinas e Equipamentos Ltda;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
Santa Martha Jardins Ltda. - ME;Agronomia;Fitotecnia
Roberta Gabinio Ciccone;Ciência da Computação;Sistemas de Computação
Bioinfood Soluções em Biotecnologia Ltda;Genética;Genética Molecular e de Microorganismos
Eleve Science Pesquisa e Desenvolvimento Ltda;Farmácia;Análise e Controle de Medicamentos
Spectralgrid Inovações Tecnológicas e Sensoriamento Remoto Ltda;Física;Física Atômica e Molecular
Dentillo e Gavio Identificação e Quantificação Molecular Ltda. - ME;Saúde Coletiva;Saúde Pública
SCI - Inovações Tecnológicas Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
