Empresa;Municipio
Innovatech Telecom Indústria e Comercio de Equipamentos Eletronicos e de Telecomunicacões Ltda (Innovatech);Campinas
Fermentec Assistencia Tecnica em Fermentacao Alcoolica Ltda;Piracicaba
Educommatica Educacao, Comunicacao e Informatica S/C Ltda. - EPP;Sao Paulo
Criteria Indústria e Comercio, Importacao e Exportacao de Produtos Medicinais Odontologicos Ltda;Sao Carlos
Rehder Consultoria de Engenharia e Idiomas Ltda;Sao Paulo
DPR Engenharia Assessoria e Consultoria em Projetos da area Petrolifera Ltda;Campinas
RMF Consultoria S/C Ltda;Piracicaba
Accert Pesquisa e Desenvolvimento em Quimica e Biotecnologia Ltda (ACCERT);Sao Carlos
RK Indústria e Comercio Ltda;Mogi das Cruzes
Solo Sapiens Indústria e Comercio de Inoculantes Ltda;Braganca Paulista
Manoel Soares Neto Automacao Industrial - ME;Sao Paulo
Selaz Indústria e Comercio de Aparelhos Biomecânicos Ltda (SELAZ);Sao Jose dos Campos
Elabora P&D, Computacao e Sistemas de Informatica Ltda;Campinas
Medecell do Brasil Comercio e Importacao Ltda (Medecell);Botucatu
Libera Tecnologia e Inovacao Ltda;Sao Paulo
PV Prest Vacuo Ltda;Cotia
Metamaquina Comercio de Kits Eletronicos Ltda;Sao Paulo
Narcissus Pesquisa Clinica e Biotecnologia Ltda. - ME;Ribeirao Preto
G Todesco Tecnologia;Sorocaba
Acaimazon Pesquisa, Indústria e Comercio de Acai Ltda;Campinas
Algae Biotecnologia Ltda (ALGAE);Sao Paulo
Foco Ambiental Indústria e Comercio Ltda (FOCO);Jundiai
Compumedica Informatica Ltda;Sao Paulo
Tecplas Indústria e Comercio Ltda. - EPP;Sao Jose dos Campos
NCB Sistemas Embarcados Ltda;Sao Jose dos Campos
Planner Consultoria de Informatica e Traducões Tecnicas Ltda;Guarulhos
Fermentec Assistencia Tecnica em Fermentacao Alcoolica Ltda;Piracicaba
Intecmat Indústria e Tecnologia em Materiais Compostos Polimericos Ltda (InTecMat);Sao Carlos
Rheabiotec Desenvolvimento, Producao e Comercializacao de Produtos de Biotecnologia Ltda (Rheabiotec);Campinas
Labmaq do Brasil Ltda;Ribeirao Preto
Solo Sapiens Indústria e Comercio de Inoculantes Ltda;Braganca Paulista
Virtue Participacões Ltda;Sao Jose do Rio Preto
Natural Products & Technologies Ltda. - ME;Rafard
OP2B Solucões para Otimizacao de Negocios Ltda;Sao Paulo
Mobwise Consultoria em Engenharia e Softwares Ltda;Campinas
Multivacuo Aeroespacial Ltda;Sao Jose dos Campos
CHR Cerâmica Tecnica Ltda;Sao Paulo
Clave Biotecnologia Servicos e Consultoria Ltda. - EPP;Sao Paulo
D A Software e Servicos S/A;Campinas
Salt Sea & Limno Technology Consultoria Ambiental Ltda;Sao Paulo
CLE Comercio de Equipamentos e Servicos Ltda;Pirassununga
Nanofitotec Inovacao em Fitoterapicos Eireli;Sao Paulo
Tecnologia e Ciencia Educacional Ltda (TECE);Rio Claro
Bioforte Farmaceutica Ltda;Sao Paulo
Deoxi Biotecnologia Ltda;Aracatuba
Incon Eletronica Ltda. - EPP;Sao Carlos
Veritas Biotecnologia Ltda (VLS);Ribeirao Preto
J G Moriya Representacao Importadora e Exportadora Comercial Ltda;Sao Paulo
Agromic Pesquisa, Producao e Comercio de Insumos Biologicos Ltda;Piracicaba
Jhaady Indústria, Comercio, Importacao e Exportacao de Cosmeticos Ltda;Sao Carlos
Genotyping Laboratorio de Biotecnologia Ltda (Genotyping);Botucatu
Invent Biotecnologia Ltda. - ME;Ribeirao Preto
Apis Flora Industrial e Comercial Ltda;Ribeirao Preto
Scheme Lab Propriedade Industrial S/S Ltda;Sao Paulo
Perception Comercio e Servicos de Informatica Ltda;Barueri
Sergio Carlos Zilio - ME;Sao Carlos
Nexxto Servicos em Tecnologia da Informacao S/A;Sao Paulo
Verdartis Desenvolvimento Biotecnologico Ltda. - ME;Ribeirao Preto
MTW Biosciences Prestacao de Servicos de Assessoria Quimica Ltda;Sao Paulo
Keme Desenvolvimento e Comercio de Instrumentos Cientificos Ltda;Campinas
Kryptus Seguranca da Informacao Ltda;Campinas
Lining Representacao, Consultoria e Projetos Ltda. - ME;Poa
RK Indústria e Comercio Ltda;Mogi das Cruzes
Sencer Indústria e Comercio de Sensores Cerâmicos Ltda. - ME;Sao Carlos
Sapra S/A;Sao Carlos
Abili Assessoria Tecnica Comercial e Tecnologia da Informacao Ltda (Abili);Sao Paulo
Orbys Desenvolvimento de Tecnologia de Materiais Ltda;Sao Paulo
ANS Pharma Consultoria Ltda;Paulinia
Eudora Energia Ltda;Campinas
Partecurae Pesquisa e Desenvolvimento Ltda;Sao Carlos
Cuesta Aquicultura Servicos de Apoio a Aquicultura Ltda. - ME;Botucatu
Biopdi Indústria, Comercio, Importacao e Exportacao de Equipamentos Medicos Odontologicos Ltda;Sao Carlos
Kidopi Solucões em Informatica Medica Ltda (Kidopi);Ribeirao Preto
Technomar Engenharia Ltda;Sao Paulo
IQX Inove Qualyx Tecnologia e Desenvolvimento em Resinas Ltda;Valinhos
Rad Tech Sistemas Medicos Ltda;Ribeirao Preto
Delta CO2 Assessoria e Consultoria Tecnico Sustentabilidade Ambiental Ltda;Piracicaba
Acen Microeletronica Ltda;Campinas
Tech Chrom Instrumentos Analiticos Ltda. - ME;Campinas
Clorovale Diamantes Indústria e Comercio Ltda;Sao Jose dos Campos
NCB Sistemas Embarcados Ltda;Sao Jose dos Campos
Veridis Tecnologia da Informacao Ltda;Campinas
Ademar Menezes Junior;Cajuru
Saveway Comercio e Representacões de Softwares Ltda;Campinas
Chancelier Joias Ltda;Cotia
Marcelo Simioni Pontes - ME;Boituva
Deusdedit Lineu Spavieri Junior - ME;Sao Carlos
Agricef Solucões Tecnologicas para Agricultura Ltda (Agricef);Campinas
Clorovale Diamantes Indústria e Comercio Ltda;Sao Jose dos Campos
Vorsprung Projetos Industriais Ltda (VPI);Sao Carlos
R4F Tecnologia em Telecomunicacões Ltda;Campinas
Immunocamp Comercio de Produtos Hospitalares Ltda;Vinhedo
Gentros Pesquisa e Desenvolvimento Ltda;Paulinia
Indústria Brasileira do Peixe Ltda;Jundiai
Areda e Escudeiro Ltda. - ME;Ribeirao Preto
Zyal Tech Desenvolvimento de Cerâmicas Especiais Ltda;Sao Paulo
Sensoft Indústria e Automacao Ltda;Sao Carlos
Tezca Pesquisa e Desenvolvimento de Celulas Solares Ltda (TEZCA);Campinas
Altave Indústria, Comercio e Exportacao de Aeronaves S/A;Sao Jose dos Campos
Ecomedical Produtos Hospitalares Ltda;Sao Paulo
Selaz Indústria e Comercio de Aparelhos Biomecânicos Ltda (SELAZ);Sao Jose dos Campos
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli;Sao Carlos
Rotar Empresa de Projetos Consultoria e Assessoria Ltda;Campinas
Antares Eletronica Ltda;Jundiai
agua da Mata Desenvolvimento Sustentavel Ltda;Botucatu
Inprenha Biotecnologia e Desenvolvimento Animal Ltda;Jaboticabal
Virologica Solucões em Microbiologia Ltda (Virologica);Ribeirao Preto
Verdartis Desenvolvimento Biotecnologico Ltda. - ME;Ribeirao Preto
Camelback Comercio de Pneus de Santos Ltda. - ME;Santos
Vivax Servicos Ltda;Sao Caetano do Sul
Biopdi Indústria, Comercio, Importacao e Exportacao de Equipamentos Medicos Odontologicos Ltda;Sao Carlos
Quasar Telemedicina Desenvolvimento de Sistemas Computacionais Ltda;Sao Paulo
Noxt Indústria e Comercio de Produtos Eletronicos Ltda;Sao Jose dos Campos
Optolink Indústria e Comercio Sociedade Ltda;Campinas
Nantex Nanotecnologia Experimental Ltda;Piracaia
Nanox Tecnologia S/A;Sao Carlos
EXA M Instrumentacao Biomedica Ltda. - ME;Mogi das Cruzes
Aronis Software Ltda;Sao Paulo
Ranaville Agroindústria Ltda. - ME;Sao Roque
ISP Oil Indústria, Comercio e Tecnologia em oleos Vegetais e Resinas Ltda;Campinas
Clansoft Desenvolvimento de Software Ltda;Campinas
BCS Tecnologia e Servicos Ltda. - ME;Sao Paulo
Nucleogen Centro Biotecnologico Animal S/S;Pirassununga
Linax Indústria e Comercio de oleos Essenciais Ltda;Votuporanga
Colly Quimica Indústria e Comercio Ltda. - EPP;Capivari
Indústria de Artefatos de Borracha Esper Ltda;Sao Paulo
Tramppo Comercio e Reciclagem de Produtos Industriais Ltda. - ME;Sao Paulo
Sapra S/A;Sao Carlos
Mhnano Indústria e Desenvolvimento de Materiais Nanoestruturados Ltda. - ME;Sao Carlos
Sistema Ciclo Processamento Ltda. - ME;Cotia
Adest Tecnicas para Soldagem de Metais Ltda;Campinas
ALG Tryon Indústria de Equipamentos Eletronicos Ltda. - ME;Sao Carlos
Coss Solucões e Tecnologia Ltda;Sao Carlos
Flyever Indústria e Comercio de Equipamentos Eletronicos Ltda. - EPP;Sao Carlos
D A Software e Servicos S/A;Campinas
Invent Biotecnologia Ltda. - ME;Ribeirao Preto
Lumintech Marcadores opticos Ltda;Sao Paulo
Keme Desenvolvimento e Comercio de Instrumentos Cientificos Ltda;Campinas
Reinaldo Alvarenga Bergamaschi - EPP;Campinas
Apis Flora Industrial e Comercial Ltda;Ribeirao Preto
Linkgen Biotecnologia Veterinaria Ltda;Sao Paulo
Nexxto Servicos em Tecnologia da Informacao S/A;Sao Paulo
Opto Eletronica S/A;Sao Carlos
Big Tecnologia Equipamentos Industriais Ltda;Piracicaba
Mobwise Consultoria em Engenharia e Softwares Ltda;Campinas
Rheabiotec Desenvolvimento, Producao e Comercializacao de Produtos de Biotecnologia Ltda (Rheabiotec);Campinas
Geodez Consultoria em Cerâmica Ltda;Sao Carlos
CEMSA - Centro de Espectrometria de Massas Aplicada Ltda;Sao Paulo
Bellman Nutricao Animal Ltda;Mirassol
Jhaady Indústria, Comercio, Importacao e Exportacao de Cosmeticos Ltda;Sao Carlos
Silvicontrol Monitoramento de Pragas e Doencas Florestais Ltda (SILVICONTROL);Botucatu
Beta Telecom Consultoria e Comercio Ltda;Sao Jose dos Campos
Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora);Ribeirao Preto
IQX Inove Qualyx Tecnologia e Desenvolvimento em Resinas Ltda;Valinhos
Mhnano Indústria e Desenvolvimento de Materiais Nanoestruturados Ltda. - ME;Sao Carlos
Balloon Indústria, Comercio, Exportacao e Importacao Ltda;Sao Paulo
Aredes Equipamentos Hospitalares Ltda;Sao Jose dos Campos
Al Sukkar Biotecnologia Industrial Ltda. - ME;Ribeirao Preto
Nanocore Biotecnologia Ltda. - EPP;Campinas
Musa Brasil Comercio de Produtos Artesanais Ltda;Sao Paulo
Accert Pesquisa e Desenvolvimento em Quimica e Biotecnologia Ltda (ACCERT);Sao Carlos
Recepta Biofarma S/A (Recepta);Sao Paulo
Gentros Pesquisa e Desenvolvimento Ltda;Paulinia
Elabora Consultoria e Participacões Ltda (Elabora);Sao Paulo
Paulo Eduardo Silveira - ME;Sao Carlos
Nano Separation Technologies Indústria, Comercio e Representacões Ltda;Sao Carlos
Verdartis Desenvolvimento Biotecnologico Ltda. - ME;Ribeirao Preto
Nelis Evangelista Luiz - ME;Sao Paulo
Spectrum Line Prestacões de Servicos Eletro-Eletronicos Ltda;Campinas
Accure Technologies Intrumentos Ltda. - ME;Sao Carlos
Areda e Escudeiro Ltda. - ME;Ribeirao Preto
PDA Inovacões, Pesquisa e Desenvolvimento no Agronegocio Ltda;Sao Carlos
Brasil Ozonio Indústria e Comercio de Equipamentos e Sistemas S/A;Sao Paulo
Proteobras Desenvolvimento Biotecnologico Ltda (PROTEOBRaS);Campinas
Multivacuo Aeroespacial Ltda;Sao Jose dos Campos
Ekion Tecnologia de Veiculos Eletricos Ltda;Campinas
Redealumni Servicos de Internet Ltda. - ME;Sao Jose dos Campos
Genotyping Laboratorio de Biotecnologia Ltda (Genotyping);Botucatu
Virologica Solucões em Microbiologia Ltda (Virologica);Ribeirao Preto
Vetdna Diagnosticos Moleculares Ltda (VetDNA);Botucatu
Fermentec Assistencia Tecnica em Fermentacao Alcoolica Ltda;Piracicaba
Unitech Projetos Pesquisas Desenvolvimento Consultoria Comercio Ltda;Cajobi
Saveway Comercio e Representacões de Softwares Ltda;Campinas
DMC Importacao e Exportacao de Equipamentos Ltda;Sao Carlos
EXA M Instrumentacao Biomedica Ltda. - ME;Mogi das Cruzes
Figlabs Pesquisa e Desenvolvimento Ltda (Figlabs);Ribeirao Preto
Linax Indústria e Comercio de oleos Essenciais Ltda;Votuporanga
Technes Agricola Ltda (Technes);Sao Paulo
Magnamed Tecnologia Medica S/A;Sao Paulo
BR Labs Indústria e Comercio em Sistemas de Lasers e Componentes opticos e Eletronicos Ltda;Campinas
Br4science Assessoria Tecnica Cientifica Ltda;Botucatu
Expertise Engenharia Ltda;Sao Paulo
Agro Red Bio - Tecnologia Ltda;Mogi das Cruzes
I.Systems Automacao Industrial S/A;Campinas
Tezca Pesquisa e Desenvolvimento de Celulas Solares Ltda (TEZCA);Campinas
Viegas Informatica Ltda. - ME;Indaiatuba
Clave Biotecnologia Servicos e Consultoria Ltda. - EPP;Sao Paulo
Areda e Escudeiro Ltda. - ME;Ribeirao Preto
Cromatica Sistemas de Comunicacao de Dados e Informatica Ltda;Sao Paulo
Lucotec Mecânica Industrial Ltda;Sao Paulo
Sepia Assessoria e Consultoria Educacional, Pesquisa e Desenvolvimento Ltda;Mogi das Cruzes
Magnamed Tecnologia Medica S/A;Sao Paulo
Novo Mel Biotecnologia e Analises Laboratoriais Ltda;Cotia
Excelchip Sistemas Eletronicos Ltda (Excelchip);Sao Paulo
Recaltech Desenvolvimento em Metalurgia Ltda;Sao Paulo
Aquaplant Comercial Ltda;Campinas
Viatech Indústria, Comercio e Prestacao de Servico Ltda;Sorocaba
Fermentec Assistencia Tecnica em Fermentacao Alcoolica Ltda;Piracicaba
WSGB Laboratorios Ltda;Sao Carlos
Orbital Engenharia S/A;Sao Jose dos Campos
Plasmacro Indústria e Comercio de Polimeros Ltda. - ME;Sao Carlos
agua da Mata Desenvolvimento Sustentavel Ltda;Botucatu
Commodity Systems Empreendimentos e Participacões Ltda;Campinas
Yago Lascane Consultoria em Pesquisa e Desenvolvimento de Produtos Ltda;Sao Paulo
Deoxi Biotecnologia Ltda;Aracatuba
JP Indústria Farmaceutica S/A;Franca
Atenatec Solucões Tecnologicas Ltda. - ME;Sao Carlos
CLB Engenharia Consultiva S/S Ltda;Sao Paulo
Alexandre Rodrigues da Silva Software;Charqueada
EXA M Instrumentacao Biomedica Ltda. - ME;Mogi das Cruzes
Veridis Tecnologia da Informacao Ltda;Campinas
Technomar Engenharia Ltda;Sao Paulo
Pro Bio Pesquisa e Desenvolvimento Ltda. - ME;Ribeirao Preto
Probiom Tecnologia Pesquisa e Desenvolvimento Experimental em Ciencias Fisicas e Naturais;Campinas
Micro Tube Ferramentaria de Precisao e Comercio Ltda. - ME;Araraquara
Polikem Tecnologia em Polimeros Ltda. - EPP;Sao Carlos
Solo Sapiens Indústria e Comercio de Inoculantes Ltda;Braganca Paulista
Recepta Biofarma S/A (Recepta);Sao Paulo
ALS Laboratorios LS Ltda;Sao Paulo
CNPN Indústria e Comercio de Embalagens Ltda. - ME;Mococa
Mobwise Consultoria em Engenharia e Softwares Ltda;Campinas
Nanobras Indústria e Comercio de Produtos Quimicos Ltda. - ME;Sao Caetano do Sul
Brsensor Indústria Brasileira de Sensores Ltda;Sao Carlos
R4F Tecnologia em Telecomunicacões Ltda;Campinas
Phyton Formulas Magistrais e Oficinas Ltda;Sao Paulo
Ranaville Agroindústria Ltda. - ME;Sao Roque
Magnamed Tecnologia Medica S/A;Sao Paulo
Wmancer Technologies Desenvolvimento e Producao de Software Ltda;Sao Carlos
Guatifer Usinagem e Ferramentaria Ltda (Guatifer);Sao Paulo
Agricef Solucões Tecnologicas para Agricultura Ltda (Agricef);Campinas
Tecnologia e Ciencia Educacional Ltda (TECE);Rio Claro
Nantex Nanotecnologia Experimental Ltda;Piracaia
Nanocore Biotecnologia Ltda. - EPP;Campinas
CEMSA - Centro de Espectrometria de Massas Aplicada Ltda;Sao Paulo
Fibrel Indústria e Comercio de Materiais Plasticos Reforcados e Luminarias Ltda. - EPP;Mogi das Cruzes
Lumintech Marcadores opticos Ltda;Sao Paulo
Welding Science Medar Comercio e Servicos de Equipamentos Eletronicos Ltda. - EPP;Sao Paulo
Infomobile Tecnologia em Software Ltda;Sao Paulo
Lumintech Marcadores opticos Ltda;Sao Paulo
Corollarium Tecnologia Ltda;Itapecerica da Serra
Incon Eletronica Ltda. - EPP;Sao Carlos
Empromec Indústria e Comercio de Instrumentos Odontologicos Ltda. - ME;Mococa
GTAC Solucões em Aviacao Ltda. - EPP;Sao Jose dos Campos
Muteki Automacao Ltda;Mogi das Cruzes
Unigen Tecnologia do DNA Ltda;Sao Paulo
Cotec Tintas Serigraficas Ltda. - EPP;Sao Jose dos Campos
Bio Controle Metodos de Controle de Pragas Ltda;Sao Paulo
Optolink Indústria e Comercio Sociedade Ltda;Campinas
Dnapta Biotecnologia Ltda;Sao Jose do Rio Preto
Accert Pesquisa e Desenvolvimento em Quimica e Biotecnologia Ltda (ACCERT);Sao Carlos
Millebolleblu Cosmeticos Ltda. - ME;Campinas
Roberta Baptista Rodrigues - ME;Sao Paulo
Particulas Desenvolvimento e Tecnologia em Materiais Ligno Celulosicos Ltda;Sao Carlos
Opto Medica Equipamentos Ltda;Sao Carlos
Transfix Transplante de Embriões Ltda;Patrocinio Paulista
CHEM4U Indústria e Comercio de Equipamento e Produtos Quimicos Ltda. - ME;Sao Paulo
Rheabiotec Desenvolvimento, Producao e Comercializacao de Produtos de Biotecnologia Ltda (Rheabiotec);Campinas
Lychnoflora Pesquisa e Desenvolvimento em Produtos Naturais Ltda (Lychnoflora);Ribeirao Preto
Solbet Indústria e Comercio Ltda;Campinas
Clansoft Desenvolvimento de Software Ltda;Campinas
Qualicert Gestao e Qualificacao Ltda;Botucatu
Nelis Evangelista Luiz - ME;Sao Paulo
Utep do Brasil Ltda;Guarulhos
Veritas Biotecnologia Ltda (VLS);Ribeirao Preto
Oralls Importacao e Exportacao Comercial Ltda. - ME;Sao Jose dos Campos
Inovamat Inovacões em Materiais Ltda;Sao Carlos
KNBS Telecomunicacões e Informatica Ltda;Campinas
Ambihidro Engenharia Ambiental e de Recursos Hidricos Ltda. - ME;Sao Paulo
Nanox Tecnologia S/A;Sao Carlos
Tech Chrom Instrumentos Analiticos Ltda. - ME;Campinas
Ujima Software Ltda;Campinas
Cesnas Materials Ltda;Monte Alto
Inojossa Servicos de Fisioterapia e Ortopedia Ltda;Sao Paulo
Genotyping Laboratorio de Biotecnologia Ltda (Genotyping);Botucatu
Transdata Indústria e Comercio de Automacao Ltda;Campinas
Veritas Biotecnologia Ltda (VLS);Ribeirao Preto
Asel Tech Tecnologia e Automacao Ltda;Sao Carlos
Brats Indústria e Comercio de Produtos Metalicos Especiais Ltda. - ME;Cajamar
Fexmedia Indústria e Comercio de Equipamentos e Tecnologia Ltda;Sao Paulo
Pelkor Indústria e Comercio de Eletronicos Ltda;Sao Paulo
Farmacore Biotecnologia Ltda (FARMACORE);Sao Paulo
Intense Solucões em Desenvolvimento optico Ltda. - EPP;Campinas
Coss Solucões e Tecnologia Ltda;Sao Carlos
Cabarello Consultoria em Tecnologia Cientifica Ltda. - ME;Paulinia
EXA M Instrumentacao Biomedica Ltda. - ME;Mogi das Cruzes
Proteimax Consultoria S/S Ltda;Cotia
Griaule Biometrics Ltda;Campinas
I.Systems Automacao Industrial S/A;Campinas
Verdartis Desenvolvimento Biotecnologico Ltda. - ME;Ribeirao Preto
Sepia Assessoria e Consultoria Educacional, Pesquisa e Desenvolvimento Ltda;Mogi das Cruzes
Chemyunion Ltda;Sorocaba
Chemyunion Ltda;Sorocaba
Apis Flora Industrial e Comercial Ltda;Ribeirao Preto
Kloppen Solucões Tecnologicas Ltda;Pirassununga
Verdartis Desenvolvimento Biotecnologico Ltda. - ME;Ribeirao Preto
Foco do Brasil Indústria e Comercio Ltda. - ME;Sao Paulo
Accert Pesquisa e Desenvolvimento em Quimica e Biotecnologia Ltda (ACCERT);Sao Carlos
MRA Indústria de Equipamentos Eletronicos Ltda;Ribeirao Preto
Genetica Aplicada a Atividades Veterinarias Ltda. - ME;Sao Paulo
Ophatalmos S/A;Sao Paulo
Luis Felipe Uebel - ME;Sao Paulo
Geologia agua e Meio Ambiente Ltda (GEOMA);Ariranha
Abili Assessoria Tecnica Comercial e Tecnologia da Informacao Ltda (Abili);Sao Paulo
Spectrum Line Prestacões de Servicos Eletro-Eletronicos Ltda;Campinas
DMC Importacao e Exportacao de Equipamentos Ltda;Sao Carlos
Nanopol Inovacao e Pesquisa de Compositos Polimericos Ltda;Sao Carlos
XMobots Aeroespacial e Defesa Ltda. - ME (XMobots);Sao Carlos
Powerhawke Solucões Inovadoras em Telecomunicacões e Automacao Ltda;Campinas
Boltech Desenvolvimento de Sistemas e Tecnologia Ltda;Sao Paulo
Tutus Comercio e Servicos de Comunicacao de Dados Ltda;Sao Jose dos Campos
Koldaev Desenvolvimento e Servicos Ltda. - ME;Sao Jose dos Campos
Red, Orange and Green Tecnologias Ambientais Ltda;Sao Paulo
Technomar Engenharia Ltda;Sao Paulo
Wavetek Tecnologies Industria, Comercio, Importacao e Exportacao de Produtos Medicos opticos Ltda (Wavetek);Sao Carlos
Sapra S/A;Sao Carlos
Schiemann Pesquisas Quimicas Ltda;Socorro
Vellyfarm Biossistemas Sociais Ltda;Campinas
Directlight Indústria e Comercio de Produtos Eletroluminescentes Ltda;Sao Carlos
Fortelab Fornos Tecnicos de Laboratorio Ltda. - EPP;Sao Carlos
Loccircuits Internacional Indústria e Comercio de Instrumentos Analiticos Ltda;Campinas
Berrocal & Associados Solucões e Inovacões Geofisicas Ltda;Sao Paulo
Gene ID S/A;Sao Carlos
Hidrolisis Avaliacões Analiticas e Novos Processos Ltda;Sao Carlos
Natureza Ativa Indústria e Comercio de Fotoreator Ltda. - ME;Sao Carlos
Bioactive Tecnologia em Polimeros Ltda;Indaiatuba
Neuron Engenharia e Comercio de Equipamentos Eletronicos Ltda;Sao Jose dos Campos
Micro Tube Ferramentaria de Precisao e Comercio Ltda. - ME;Araraquara
Orbital Engenharia S/A;Sao Jose dos Campos
Electropack Pesquisa e Desenvolvimento de Sistemas Eletricos Ltda;Campinas
Laboratorio de Patologia Bacchi Ltda;Botucatu
Vitex Agricultura e Pecuaria Ltda;Sao Paulo
Mselli Engenharia e Consultoria Ltda;Sertaozinho
Visionbr Tecnologia e Informatica Ltda;Ribeirao Preto
Magnamed Tecnologia Medica S/A;Sao Paulo
Serwein Informatica Ltda. - ME;Sao Paulo
Quality Performance Comercio e Servicos de Informatica Ltda;Sao Paulo
Biotech Biomedica Produtos Medicos e Odontologicos Ltda. - ME;Sao Carlos
Nantex Nanotecnologia Experimental Ltda;Piracaia
3T Biopolimeros Servicos de Pesquisa Ltda;Sao Paulo
Kayros Ambiental e Agricola Ltda. - ME;Limeira
Adest Tecnicas para Soldagem de Metais Ltda;Campinas
J B Schultz Fabricacao e Comercio Ltda. - ME;Praia Grande
Synergie Tecnologia da Informacao Ltda (Synergie);Sao Paulo
Biomicrogen Solucões em Biotecnologia Ltda;Campinas
Aredes Equipamentos Hospitalares Ltda;Sao Jose dos Campos
Getesi Indústria de Equipamentos Eletronicos e Sistemas Ltda. - ME;Sao Carlos
Organia Engenharia e Tecnologias Audiovisuais Ltda;Sao Paulo
Sima Comercio e Servicos Ltda;Cajobi
Natcomp Informatica e Equipamentos Eletronicos Ltda;Santos
Humanita Quimica e Farmaceutica S/A;Cravinhos
Recaltech Desenvolvimento em Metalurgia Ltda;Sao Paulo
W3FR Desenvolvimento e Manutencao de Software Ltda. - ME;Sao Jose dos Campos
Innovatech Medical Ltda;Sao Paulo
Alianca Orgânica Solucões Ambientais Ltda. - EPP;Sao Carlos
Sciranda de Projetos e Tecnologias Ltda;Sao Paulo
M A Ferrari Salto - ME;Jundiai
Linkgen Biotecnologia Veterinaria Ltda;Sao Paulo
Hexalab Consultoria em Analises Quimica Ltda (HEXALAB);Santos
Atenatec Solucões Tecnologicas Ltda. - ME;Sao Carlos
Luiz Fernando Grandim Agricola - ME;Campinas
Aeroalcool Tecnologia Ltda;Franca
GTAC Solucões em Aviacao Ltda. - EPP;Sao Jose dos Campos
Ouro Fino Saúde Animal Ltda;Franca
Accure Technologies Intrumentos Ltda. - ME;Sao Carlos
Micro Tube Ferramentaria de Precisao e Comercio Ltda. - ME;Araraquara
Invent Biotecnologia Ltda. - ME;Ribeirao Preto
Quimilab Produtos de Quimica Fina Ltda;Jacarei
Ouro Fino Saúde Animal Ltda;Paulinia
AGX Tecnologia Ltda;Sao Carlos
Ideiatech Solucões de Automacao Inteligente Ltda;Sao Paulo
CFLEX Computacao Flexivel Aplicada Ltda;Campinas
Verdartis Desenvolvimento Biotecnologico Ltda. - ME;Ribeirao Preto
Nano Separation Technologies Indústria, Comercio e Representacões Ltda;Sao Carlos
Uniex Indústria Quimica Ltda. - EPP;Pedreira
Edinara Adelaide Boss - ME;Artur Nogueira
Quadros Systems Brasil Ltda;Sao Carlos
Expansao Cientifica Ltda. - EPP;Sao Paulo
Brapenta Eletronica Ltda;Sao Paulo
Probiom Tecnologia Pesquisa e Desenvolvimento Experimental em Ciencias Fisicas e Naturais;Campinas
Kelvin Tecnologia Industrial Ltda;Rio Claro
Nucleogen Centro Biotecnologico Animal S/S;Pirassununga
SMF Bioplus Desenvolvimento de Pesquisas Tecnologicas e Quimicas Ltda. - EPP;Campinas
Atenatec Solucões Tecnologicas Ltda. - ME;Sao Carlos
Paula Sbaite Duarte dos Santos - ME;Campinas
Orbys Desenvolvimento de Tecnologia de Materiais Ltda;Sao Paulo
Global Pet Reciclagem Ltda. - EPP;Sao Carlos
Inove Produtos e Tecnologia Ltda. - ME;Sao Carlos
Sencer Indústria e Comercio de Sensores Cerâmicos Ltda. - ME;Sao Carlos
WSGB Laboratorios Ltda;Sao Carlos
Farmacore Biotecnologia Ltda (FARMACORE);Sao Paulo
Innovatech Telecom Indústria e Comercio de Equipamentos Eletronicos e de Telecomunicacões Ltda (Innovatech);Campinas
Solbet Indústria e Comercio Ltda;Campinas
Natural Products & Technologies Ltda. - ME;Rafard
Aguiar Aguiar & Cia Ltda. - ME;Sao Carlos
Natcomp Informatica e Equipamentos Eletronicos Ltda;Santos
Kairos Phytochemicals Comercio, Importacao e Exportacao de Derivados Vegetais Ltda;Campinas
Zircobrax Indústria e Comercio de Produtos Cerâmicos Ltda (ZIRCOBRAX);Maua
Guatifer Usinagem e Ferramentaria Ltda (Guatifer);Sao Paulo
Isoermetica Isoladores Hermeticos Ltda;Sao Paulo
Ecotec Equipamentos e Sistemas Ltda. - EPP;Mogi das Cruzes
In Vitro Brasil Ltda;Mogi Mirim
Multivacuo Aeroespacial Ltda;Sao Jose dos Campos
Recreio & Sabor Alimentacao Infantil Ltda. - ME;Sao Paulo
Polinano Tecnologia Indústria e Comercio Ltda. - ME;Sao Paulo
Divina Pecas Comercio, Importacao e Exportacao de Artefatos Artesanais Ltda;Sao Paulo
Nucleoargeo Tecnologia Nuclear em Sistemas Naturais e Pesquisa Mineral Ltda;Rio Claro
Cybernemics Consultoria em Informatica Ltda;Sao Paulo
Yu Liren;Sao Carlos
Easylux Fornecimento de Equipamentos para Controle de Qualidade, Sinalizacao e Seguranca de Vias Ltda;Santo Andre
Geotecno Indústria e Comercio de Sistemas e Processos Automatizados Ltda. - ME;Santa Barbara D'Oeste
Cooperativa dos Pequenos Produtores Rurais de Itapetininga e Regiao (COPPRIR);Itapetininga
Farmacore Biotecnologia Ltda (FARMACORE);Sao Paulo
